team_code,team_name,flag,jersey_number,player_name,position,club,age,status,api_player_id
MEX,Mexico,🇲🇽,1,TBD Player 1,Goalkeeper,,,Roster placeholder - replace with official squad or API sync,
MEX,Mexico,🇲🇽,2,TBD Player 2,Defender,,,Roster placeholder - replace with official squad or API sync,
MEX,Mexico,🇲🇽,3,TBD Player 3,Defender,,,Roster placeholder - replace with official squad or API sync,
MEX,Mexico,🇲🇽,4,TBD Player 4,Defender,,,Roster placeholder - replace with official squad or API sync,
MEX,Mexico,🇲🇽,5,TBD Player 5,Defender,,,Roster placeholder - replace with official squad or API sync,
MEX,Mexico,🇲🇽,6,TBD Player 6,Midfielder,,,Roster placeholder - replace with official squad or API sync,
MEX,Mexico,🇲🇽,7,TBD Player 7,Midfielder,,,Roster placeholder - replace with official squad or API sync,
MEX,Mexico,🇲🇽,8,TBD Player 8,Midfielder,,,Roster placeholder - replace with official squad or API sync,
MEX,Mexico,🇲🇽,9,TBD Player 9,Forward,,,Roster placeholder - replace with official squad or API sync,
MEX,Mexico,🇲🇽,10,TBD Player 10,Forward,,,Roster placeholder - replace with official squad or API sync,
MEX,Mexico,🇲🇽,11,TBD Player 11,Forward,,,Roster placeholder - replace with official squad or API sync,
MEX,Mexico,🇲🇽,12,TBD Player 12,Goalkeeper,,,Roster placeholder - replace with official squad or API sync,
MEX,Mexico,🇲🇽,13,TBD Player 13,Defender,,,Roster placeholder - replace with official squad or API sync,
MEX,Mexico,🇲🇽,14,TBD Player 14,Defender,,,Roster placeholder - replace with official squad or API sync,
MEX,Mexico,🇲🇽,15,TBD Player 15,Midfielder,,,Roster placeholder - replace with official squad or API sync,
MEX,Mexico,🇲🇽,16,TBD Player 16,Midfielder,,,Roster placeholder - replace with official squad or API sync,
MEX,Mexico,🇲🇽,17,TBD Player 17,Midfielder,,,Roster placeholder - replace with official squad or API sync,
MEX,Mexico,🇲🇽,18,TBD Player 18,Forward,,,Roster placeholder - replace with official squad or API sync,
MEX,Mexico,🇲🇽,19,TBD Player 19,Forward,,,Roster placeholder - replace with official squad or API sync,
MEX,Mexico,🇲🇽,20,TBD Player 20,Goalkeeper,,,Roster placeholder - replace with official squad or API sync,
MEX,Mexico,🇲🇽,21,TBD Player 21,Defender,,,Roster placeholder - replace with official squad or API sync,
MEX,Mexico,🇲🇽,22,TBD Player 22,Midfielder,,,Roster placeholder - replace with official squad or API sync,
MEX,Mexico,🇲🇽,23,TBD Player 23,Forward,,,Roster placeholder - replace with official squad or API sync,
MEX,Mexico,🇲🇽,24,TBD Player 24,Defender,,,Roster placeholder - replace with official squad or API sync,
MEX,Mexico,🇲🇽,25,TBD Player 25,Midfielder,,,Roster placeholder - replace with official squad or API sync,
MEX,Mexico,🇲🇽,26,TBD Player 26,Forward,,,Roster placeholder - replace with official squad or API sync,
RSA,South Africa,🇿🇦,1,TBD Player 1,Goalkeeper,,,Roster placeholder - replace with official squad or API sync,
RSA,South Africa,🇿🇦,2,TBD Player 2,Defender,,,Roster placeholder - replace with official squad or API sync,
RSA,South Africa,🇿🇦,3,TBD Player 3,Defender,,,Roster placeholder - replace with official squad or API sync,
RSA,South Africa,🇿🇦,4,TBD Player 4,Defender,,,Roster placeholder - replace with official squad or API sync,
RSA,South Africa,🇿🇦,5,TBD Player 5,Defender,,,Roster placeholder - replace with official squad or API sync,
RSA,South Africa,🇿🇦,6,TBD Player 6,Midfielder,,,Roster placeholder - replace with official squad or API sync,
RSA,South Africa,🇿🇦,7,TBD Player 7,Midfielder,,,Roster placeholder - replace with official squad or API sync,
RSA,South Africa,🇿🇦,8,TBD Player 8,Midfielder,,,Roster placeholder - replace with official squad or API sync,
RSA,South Africa,🇿🇦,9,TBD Player 9,Forward,,,Roster placeholder - replace with official squad or API sync,
RSA,South Africa,🇿🇦,10,TBD Player 10,Forward,,,Roster placeholder - replace with official squad or API sync,
RSA,South Africa,🇿🇦,11,TBD Player 11,Forward,,,Roster placeholder - replace with official squad or API sync,
RSA,South Africa,🇿🇦,12,TBD Player 12,Goalkeeper,,,Roster placeholder - replace with official squad or API sync,
RSA,South Africa,🇿🇦,13,TBD Player 13,Defender,,,Roster placeholder - replace with official squad or API sync,
RSA,South Africa,🇿🇦,14,TBD Player 14,Defender,,,Roster placeholder - replace with official squad or API sync,
RSA,South Africa,🇿🇦,15,TBD Player 15,Midfielder,,,Roster placeholder - replace with official squad or API sync,
RSA,South Africa,🇿🇦,16,TBD Player 16,Midfielder,,,Roster placeholder - replace with official squad or API sync,
RSA,South Africa,🇿🇦,17,TBD Player 17,Midfielder,,,Roster placeholder - replace with official squad or API sync,
RSA,South Africa,🇿🇦,18,TBD Player 18,Forward,,,Roster placeholder - replace with official squad or API sync,
RSA,South Africa,🇿🇦,19,TBD Player 19,Forward,,,Roster placeholder - replace with official squad or API sync,
RSA,South Africa,🇿🇦,20,TBD Player 20,Goalkeeper,,,Roster placeholder - replace with official squad or API sync,
RSA,South Africa,🇿🇦,21,TBD Player 21,Defender,,,Roster placeholder - replace with official squad or API sync,
RSA,South Africa,🇿🇦,22,TBD Player 22,Midfielder,,,Roster placeholder - replace with official squad or API sync,
RSA,South Africa,🇿🇦,23,TBD Player 23,Forward,,,Roster placeholder - replace with official squad or API sync,
RSA,South Africa,🇿🇦,24,TBD Player 24,Defender,,,Roster placeholder - replace with official squad or API sync,
RSA,South Africa,🇿🇦,25,TBD Player 25,Midfielder,,,Roster placeholder - replace with official squad or API sync,
