group_name,team_code,team_name,country,flag,confederation,api_football_team_id,coach,fifa_rank,notes
A,MEX,Mexico,Mexico,🇲🇽,CONCACAF,,,,
A,RSA,South Africa,South Africa,🇿🇦,CAF,,,,
A,KOR,South Korea,South Korea,🇰🇷,AFC,,,,
A,CZE,Czech Republic,Czech Republic,🇨🇿,UEFA,,,,
B,CAN,Canada,Canada,🇨🇦,CONCACAF,,,,
B,BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,🇧🇦,UEFA,,,,
B,QAT,Qatar,Qatar,🇶🇦,AFC,,,,
B,SUI,Switzerland,Switzerland,🇨🇭,UEFA,,,,
C,BRA,Brazil,Brazil,🇧🇷,CONMEBOL,,,,
C,MAR,Morocco,Morocco,🇲🇦,CAF,,,,
C,HAI,Haiti,Haiti,🇭🇹,CONCACAF,,,,
C,SCO,Scotland,Scotland,🏴,UEFA,,,,
D,USA,United States,United States,🇺🇸,CONCACAF,,,,
D,PAR,Paraguay,Paraguay,🇵🇾,CONMEBOL,,,,
D,AUS,Australia,Australia,🇦🇺,AFC,,,,
D,TUR,Türkiye,Türkiye,🇹🇷,UEFA,,,,
E,GER,Germany,Germany,🇩🇪,UEFA,,,,
E,CUW,Curaçao,Curaçao,🇨🇼,CONCACAF,,,,
E,CIV,Côte d'Ivoire,Côte d'Ivoire,🇨🇮,CAF,,,,
E,ECU,Ecuador,Ecuador,🇪🇨,CONMEBOL,,,,
F,NED,Netherlands,Netherlands,🇳🇱,UEFA,,,,
F,JPN,Japan,Japan,🇯🇵,AFC,,,,
F,SWE,Sweden,Sweden,🇸🇪,UEFA,,,,
F,TUN,Tunisia,Tunisia,🇹🇳,CAF,,,,
G,BEL,Belgium,Belgium,🇧🇪,UEFA,,,,
G,EGY,Egypt,Egypt,🇪🇬,CAF,,,,
G,IRN,Iran,Iran,🇮🇷,AFC,,,,
G,NZL,New Zealand,New Zealand,🇳🇿,OFC,,,,
H,ESP,Spain,Spain,🇪🇸,UEFA,,,,
H,CPV,Cape Verde,Cape Verde,🇨🇻,CAF,,,,
H,KSA,Saudi Arabia,Saudi Arabia,🇸🇦,AFC,,,,
H,URU,Uruguay,Uruguay,🇺🇾,CONMEBOL,,,,
I,FRA,France,France,🇫🇷,UEFA,,,,
I,SEN,Senegal,Senegal,🇸🇳,CAF,,,,
I,IRQ,Iraq,Iraq,🇮🇶,AFC,,,,
I,NOR,Norway,Norway,🇳🇴,UEFA,,,,
J,ARG,Argentina,Argentina,🇦🇷,CONMEBOL,,,,
J,ALG,Algeria,Algeria,🇩🇿,CAF,,,,
J,AUT,Austria,Austria,🇦🇹,UEFA,,,,
J,JOR,Jordan,Jordan,🇯🇴,AFC,,,,
K,POR,Portugal,Portugal,🇵🇹,UEFA,,,,
K,COD,DR Congo,DR Congo,🇨🇩,CAF,,,,
K,UZB,Uzbekistan,Uzbekistan,🇺🇿,AFC,,,,
K,COL,Colombia,Colombia,🇨🇴,CONMEBOL,,,,
L,ENG,England,England,🏴,UEFA,,,,
L,CRO,Croatia,Croatia,🇭🇷,UEFA,,,,
L,GHA,Ghana,Ghana,🇬🇭,CAF,,,,
L,PAN,Panama,Panama,🇵🇦,CONCACAF,,,,
